date,adjclose
2016-07-05,177.5264
2016-07-06,178.5911
2016-07-07,178.4804
2016-07-08,181.1381
2016-07-11,181.7769
2016-07-12,183.0972
2016-07-13,183.0717
2016-07-14,184.0938
2016-07-15,183.8468
2016-07-18,184.3409
2016-07-19,184.1535
2016-07-20,184.9201
2016-07-21,184.2216
2016-07-22,185.0479
2016-07-25,184.5453
2016-07-26,184.6305
2016-07-27,184.4346
2016-07-28,184.6476
2016-07-29,184.9458
2016-08-01,184.7924
2016-08-02,183.6083
2016-08-03,184.145
2016-08-04,184.3409
2016-08-05,185.8486
2016-08-08,185.7379
2016-08-09,185.8486
2016-08-10,185.3886
2016-08-11,186.2489
2016-08-12,186.0871
2016-08-15,186.6237
2016-08-16,185.6612
2016-08-17,186.0104
2016-08-18,186.4278
2016-08-19,186.1553
2016-08-22,186.1467
2016-08-23,186.5215
2016-08-24,185.5675
2016-08-25,185.4398
2016-08-26,185.0905
2016-08-29,186.002
2016-08-30,185.6953
2016-08-31,185.1672
2016-09-01,185.1757
2016-09-02,186.0104
2016-09-06,186.5726
2016-09-07,186.5555
2016-09-08,186.1297
2016-09-09,181.6747
2016-09-12,184.2813
2016-09-13,181.6321
2016-09-14,181.5639
2016-09-15,183.3783
2016-09-16,182.6695
2016-09-19,182.7036
2016-09-20,182.7123
2016-09-21,184.767
2016-09-22,185.9313
2016-09-23,184.9126
2016-09-26,183.4143
2016-09-27,184.5529
2016-09-28,185.469
2016-09-29,183.791
2016-09-30,185.1779
2016-10-03,184.7327
2016-10-04,183.791
2016-10-05,184.6043
2016-10-06,184.7327
2016-10-07,184.0992
2016-10-10,185.0581
2016-10-11,182.7209
2016-10-12,182.9606
2016-10-13,182.3613
2016-10-14,182.4555
2016-10-17,181.8219
2016-10-18,182.9606
2016-10-19,183.4486
2016-10-20,183.1062
2016-10-21,183.1917
2016-10-24,183.9708
2016-10-25,183.3544
2016-10-26,182.9862
2016-10-27,182.4982
2016-10-28,181.9589
2016-10-31,181.9675
2016-11-01,180.6491
2016-11-02,179.5618
2016-11-03,178.7399
2016-11-04,178.543
2016-11-07,182.4811
2016-11-08,183.303
2016-11-09,185.2464
2016-11-10,185.7087
2016-11-11,185.2806
2016-11-14,185.4261
2016-11-15,186.873
2016-11-16,186.522
2016-11-17,187.4809
2016-11-18,187.0614
2016-11-21,188.474
2016-11-22,188.8421
2016-11-23,188.9448
2016-11-25,189.6468
2016-11-28,188.7565
2016-11-29,189.1246
2016-11-30,188.6709
2016-12-01,187.9774
2016-12-02,188.0715
2016-12-05,189.2017
2016-12-06,189.8009
2016-12-07,192.2837
2016-12-08,192.7545
2016-12-09,193.9189
2016-12-12,193.6963
2016-12-13,194.989
2016-12-14,193.3795
2016-12-15,194.1757
2016-12-16,193.7959
2016-12-19,194.2179
2016-12-20,194.9671
2016-12-21,194.4246
2016-12-22,194.0887
2016-12-23,194.3729
2016-12-27,194.8551
2016-12-28,193.2448
2016-12-29,193.2017
2016-12-30,192.4956
2017-01-03,193.9682
2017-01-04,195.1221
2017-01-05,194.9671
2017-01-06,195.6646
2017-01-09,195.0188
2017-01-10,195.0188
2017-01-11,195.5699
2017-01-12,195.0791
2017-01-13,195.5268
2017-01-17,194.8379
2017-01-18,195.2685
